,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
count,7375993.0,7375338,7375945,5671789,5676452,7373827.0,7375993,7375993.0,7357170,7369715.0,7369715,7375986,7375993,7364664,5832193,7335248,7375993,7369715.0,27663,346812,566710.0,7358654.0,7358654.0,2580758,3949299,3815985,163499.0,7358654.0,7358654.0,7358654,7369258,163499,5737548,7375684,7375685
unique,,8606,1441,6825,1441,,5479,,71,,422,2,3,5,5,74,25,,1205,279,5087.0,,,111,8,3,,,,198552,8,372,202,8,5
top,,01/01/2010,12:00:00,06/01/2020,12:00:00,,05/29/2007,,PETIT LARCENY,,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,STREET,N.Y. POLICE DEPT,,CENTRAL PARK,CASTLE HILL,887.0,,,25-44,BLACK,M,,,,"(40.750430768, -73.989282176)",PATROL BORO BRONX,125 STREET,25-44,UNKNOWN,F
freq,,2476,196362,1461,99181,,1891,,1244155,,640218,7250300,4140720,2186681,3747880,2352311,6556968,,1641,7555,7264.0,,,1016688,1473260,2395200,,,,20668,1600584,8203,2433923,2432937,2887858
mean,550026042.6283233,,,,,63.32320801667845,,296.4089746289076,,413.46063124557736,,,,,,,,0.7241107695480762,,,,1004850.6546899745,207095.90157588603,,,,13.619502259952661,40.735063691367564,-73.92563613105969,,,,,,
std,259780945.26630428,,,,,34.47651340740449,,150.47724553538114,,217.74793804128993,,,,,,,,6.733209402134421,,,,21721.171403449585,31475.27623368861,,,,12.487344963460702,0.08630424671114495,0.07833433031426376,,,,,,
min,100000065.0,,,,,1.0,,101.0,,100.0,,,,,,,,0.0,,,,111.0,111.0,,,,1.0,40.112709974,-77.519206334,,,,,,
25%,325102700.0,,,,,40.0,,117.0,,254.0,,,,,,,,0.0,,,,991754.0,184384.0,,,,3.0,40.67271716400006,-73.972938227,,,,,,
50%,550023682.0,,,,,63.0,,341.0,,384.0,,,,,,,,0.0,,,,1004411.0,206028.0,,,,11.0,40.732099519,-73.927240524,,,,,,
75%,774995354.0,,,,,94.0,,351.0,,637.0,,,,,,,,0.0,,,,1016626.0,235179.0,,,,30.0,40.812171731,-73.883075218,,,,,,
max,999999904.0,,,,,123.0,,881.0,,975.0,,,,,,,,97.0,,,,1067298.0,7250292.0,,,,34.0,59.657273946,-73.684788384,,,,,,
