KY_CD,LAW_CAT_CD,CMPLNT_NUM
101,FELONY,6278
102,FELONY,104
103,FELONY,172
104,FELONY,21648
105,FELONY,266449
106,FELONY,286104
106,MISDEMEANOR,35
107,FELONY,254292
107,MISDEMEANOR,1
109,FELONY,638975
109,MISDEMEANOR,6
110,FELONY,133845
111,FELONY,13181
111,MISDEMEANOR,1
112,FELONY,76656
112,MISDEMEANOR,5
113,FELONY,72712
114,FELONY,17658
115,FELONY,240
116,FELONY,17833
116,MISDEMEANOR,1
117,FELONY,84494
117,MISDEMEANOR,3
118,FELONY,72919
119,FELONY,61
120,FELONY,549
121,FELONY,125620
121,MISDEMEANOR,4
122,FELONY,141
123,FELONY,7
124,FELONY,2929
124,MISDEMEANOR,1
125,FELONY,7084
126,FELONY,174591
126,MISDEMEANOR,1730
126,VIOLATION,1
230,MISDEMEANOR,448
231,MISDEMEANOR,3847
232,MISDEMEANOR,24135
233,FELONY,10
233,MISDEMEANOR,70219
234,MISDEMEANOR,117
235,FELONY,2
235,MISDEMEANOR,342573
235,VIOLATION,1
236,FELONY,3
236,MISDEMEANOR,88533
237,MISDEMEANOR,207
238,MISDEMEANOR,3444
340,FELONY,2
340,MISDEMEANOR,44474
341,FELONY,1
341,MISDEMEANOR,1244163
342,MISDEMEANOR,1334
343,FELONY,1
343,MISDEMEANOR,20765
343,VIOLATION,1
344,FELONY,11
344,MISDEMEANOR,774236
344,VIOLATION,3
345,MISDEMEANOR,1870
346,MISDEMEANOR,1277
347,FELONY,1
347,MISDEMEANOR,96388
348,MISDEMEANOR,91811
349,MISDEMEANOR,55
350,MISDEMEANOR,2921
351,FELONY,3
351,MISDEMEANOR,619338
351,VIOLATION,1
352,FELONY,2
352,MISDEMEANOR,82138
353,MISDEMEANOR,22015
354,MISDEMEANOR,128
355,FELONY,1
355,MISDEMEANOR,18171
356,MISDEMEANOR,1027
356,VIOLATION,10
357,MISDEMEANOR,12
358,MISDEMEANOR,23076
358,VIOLATION,2
359,FELONY,13
359,MISDEMEANOR,137504
360,MISDEMEANOR,15975
360,VIOLATION,3
361,FELONY,9
361,MISDEMEANOR,383361
361,VIOLATION,5
362,MISDEMEANOR,4
363,MISDEMEANOR,1046
364,FELONY,455
364,MISDEMEANOR,7399
364,VIOLATION,1
365,FELONY,1
365,MISDEMEANOR,14579
366,FELONY,1
366,MISDEMEANOR,57
455,VIOLATION,70
460,VIOLATION,16
571,VIOLATION,245
572,VIOLATION,1025
577,VIOLATION,3
578,FELONY,6
578,MISDEMEANOR,62
578,VIOLATION,945391
672,VIOLATION,23
675,MISDEMEANOR,2
675,VIOLATION,1713
676,VIOLATION,36
677,VIOLATION,348
678,MISDEMEANOR,222
678,VIOLATION,11277
685,VIOLATION,19
881,VIOLATION,15
